PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25757617","HIV and Ribozymes","Scarborough RJ, Gatignol A.","Adv Exp Med Biol. 2015;848:97-116. doi: 10.1007/978-1-4939-2432-5_5.","Scarborough RJ","Adv Exp Med Biol","2015","2015/03/12","","","10.1007/978-1-4939-2432-5_5"
"21294215","Multiple levels of PKR inhibition during HIV-1 replication","Clerzius G, Gélinas JF, Gatignol A.","Rev Med Virol. 2011 Jan;21(1):42-53. doi: 10.1002/rmv.674. Epub 2010 Dec 7.","Clerzius G","Rev Med Virol","2011","2011/02/05","","","10.1002/rmv.674"
"22933564","The multiple functions of TRBP, at the hub of cell responses to viruses, stress, and cancer","Daniels SM, Gatignol A.","Microbiol Mol Biol Rev. 2012 Sep;76(3):652-66. doi: 10.1128/MMBR.00012-12.","Daniels SM","Microbiol Mol Biol Rev","2012","2012/08/31","PMC3429622","","10.1128/MMBR.00012-12"
"36004505","The discovery and development of RNA-based therapies for treatment of HIV-1 infection","Chen MJ, Gatignol A, Scarborough RJ.","Expert Opin Drug Discov. 2023 Feb;18(2):163-179. doi: 10.1080/17460441.2022.2117296. Epub 2022 Sep 15.","Chen MJ","Expert Opin Drug Discov","2023","2022/08/25","","","10.1080/17460441.2022.2117296"
"35766092","[40e anniversaire de la découverte du VIH : nouveaux paradigmes pour des stratégies de guérison]","Dunkley ORS, Scarborough RJ, Gatignol A.","Virologie (Montrouge). 2022 Jan 1;26(1):5-8. doi: 10.1684/vir.2022.0937.","Dunkley ORS","Virologie (Montrouge)","2022","2022/06/29","","","10.1684/vir.2022.0937"
"15638724","HIV-1 TAR RNA: the target of molecular interactions between the virus and its host","Bannwarth S, Gatignol A.","Curr HIV Res. 2005 Jan;3(1):61-71. doi: 10.2174/1570162052772924.","Bannwarth S","Curr HIV Res","2005","2005/01/11","","","10.2174/1570162052772924"
"21490091","Enhancement of replication of RNA viruses by ADAR1 via RNA editing and inhibition of RNA-activated protein kinase","Gélinas JF, Clerzius G, Shaw E, Gatignol A.","J Virol. 2011 Sep;85(17):8460-6. doi: 10.1128/JVI.00240-11. Epub 2011 Apr 13.","Gélinas JF","J Virol","2011","2011/04/15","PMC3165853","","10.1128/JVI.00240-11"
"15049431","Astrocyte infection by HIV-1: mechanisms of restricted virus replication, and role in the pathogenesis of HIV-1-associated dementia","Gorry PR, Ong C, Thorpe J, Bannwarth S, Thompson KA, Gatignol A, Vesselingh SL, Purcell DF.","Curr HIV Res. 2003 Oct;1(4):463-73. doi: 10.2174/1570162033485122.","Gorry PR","Curr HIV Res","2003","2004/03/31","","","10.2174/1570162033485122"
"31210130","[A second patient cured of HIV infection: hopes and limitations]","Scarborough RJ, Goguen RP, Gatignol A.","Virologie (Montrouge). 2019 Jun 1;23(3):145-148. doi: 10.1684/vir.2019.0777.","Scarborough RJ","Virologie (Montrouge)","2019","2019/06/19","","","10.1684/vir.2019.0777"
"33614248","Efficacy, accumulation, and transcriptional profile of anti-HIV shRNAs expressed from human U6, 7SK, and H1 promoters","Goguen RP, Del Corpo O, Malard CMG, Daher A, Alpuche-Lazcano SP, Chen MJ, Scarborough RJ, Gatignol A.","Mol Ther Nucleic Acids. 2021 Jan 1;23:1020-1034. doi: 10.1016/j.omtn.2020.12.022. eCollection 2021 Mar 5.","Goguen RP","Mol Ther Nucleic Acids","2021","2021/02/22","PMC7868930","","10.1016/j.omtn.2020.12.022"
"34048439","Profound downregulation of neural transcription factor Npas4 and Nr4a family in fetal mice neurons infected with Zika virus","Alpuche-Lazcano SP, Saliba J, Costa VV, Campolina-Silva GH, Marim FM, Ribeiro LS, Blank V, Mouland AJ, Teixeira MM, Gatignol A.","PLoS Negl Trop Dis. 2021 May 28;15(5):e0009425. doi: 10.1371/journal.pntd.0009425. eCollection 2021 May.","Alpuche-Lazcano SP","PLoS Negl Trop Dis","2021","2021/05/28","PMC8191876","","10.1371/journal.pntd.0009425"
"24318884","Design and evaluation of clinically relevant SOFA-HDV ribozymes targeting HIV RNA","Scarborough RJ, Lévesque MV, Perreault JP, Gatignol A.","Methods Mol Biol. 2014;1103:31-43. doi: 10.1007/978-1-62703-730-3_3.","Scarborough RJ","Methods Mol Biol","2014","2013/12/10","","","10.1007/978-1-62703-730-3_3"
"20972213","A role for human Dicer in pre-RISC loading of siRNAs","Sakurai K, Amarzguioui M, Kim DH, Alluin J, Heale B, Song MS, Gatignol A, Behlke MA, Rossi JJ.","Nucleic Acids Res. 2011 Mar;39(4):1510-25. doi: 10.1093/nar/gkq846. Epub 2010 Oct 23.","Sakurai K","Nucleic Acids Res","2011","2010/10/26","PMC3045585","","10.1093/nar/gkq846"
"30907360","[B-cell non-Hodgkin lymphoma discovery after observation of a platelet satellitism around atypical lymphocytes]","Gatignol A, Amirault M, Legac É, Decker J.","Ann Biol Clin (Paris). 2019 Apr 1;77(2):191-195. doi: 10.1684/abc.2018.1406.","Gatignol A","Ann Biol Clin (Paris)","2019","2019/03/26","","","10.1684/abc.2018.1406"
"23550157","RNA-induced silencing complex (RISC) Proteins PACT, TRBP, and Dicer are SRA binding nuclear receptor coregulators","Redfern AD, Colley SM, Beveridge DJ, Ikeda N, Epis MR, Li X, Foulds CE, Stuart LM, Barker A, Russell VJ, Ramsay K, Kobelke SJ, Li X, Hatchell EC, Payne C, Giles KM, Messineo A, Gatignol A, Lanz RB, O'Malley BW, Leedman PJ.","Proc Natl Acad Sci U S A. 2013 Apr 16;110(16):6536-41. doi: 10.1073/pnas.1301620110. Epub 2013 Apr 2.","Redfern AD","Proc Natl Acad Sci U S A","2013","2013/04/04","PMC3631673","","10.1073/pnas.1301620110"
"24020926","The PKR activator, PACT, becomes a PKR inhibitor during HIV-1 replication","Clerzius G, Shaw E, Daher A, Burugu S, Gélinas JF, Ear T, Sinck L, Routy JP, Mouland AJ, Patel RC, Gatignol A.","Retrovirology. 2013 Sep 11;10:96. doi: 10.1186/1742-4690-10-96.","Clerzius G","Retrovirology","2013","2013/09/12","PMC3848765","","10.1186/1742-4690-10-96"
"29170442","Inhibition of the inflammatory response to stress by targeting interaction between PKR and its cellular activator PACT","Dabo S, Maillard P, Collados Rodriguez M, Hansen MD, Mazouz S, Bigot DJ, Tible M, Janvier G, Helynck O, Cassonnet P, Jacob Y, Bellalou J, Gatignol A, Patel RC, Hugon J, Munier-Lehmann H, Meurs EF.","Sci Rep. 2017 Nov 23;7(1):16129. doi: 10.1038/s41598-017-16089-8.","Dabo S","Sci Rep","2017","2017/11/25","PMC5701060","","10.1038/s41598-017-16089-8"
"17660190","Combinatorial delivery of small interfering RNAs reduces RNAi efficacy by selective incorporation into RISC","Castanotto D, Sakurai K, Lingeman R, Li H, Shively L, Aagaard L, Soifer H, Gatignol A, Riggs A, Rossi JJ.","Nucleic Acids Res. 2007;35(15):5154-64. doi: 10.1093/nar/gkm543. Epub 2007 Jul 26.","Castanotto D","Nucleic Acids Res","2007","2007/07/31","PMC1976469","","10.1093/nar/gkm543"
"20485506","Hepatitis C virus controls interferon production through PKR activation","Arnaud N, Dabo S, Maillard P, Budkowska A, Kalliampakou KI, Mavromara P, Garcin D, Hugon J, Gatignol A, Akazawa D, Wakita T, Meurs EF.","PLoS One. 2010 May 11;5(5):e10575. doi: 10.1371/journal.pone.0010575.","Arnaud N","PLoS One","2010","2010/05/21","PMC2868028","","10.1371/journal.pone.0010575"
"17270043","New pandemics: HIV and AIDS, HCV and chronic hepatitis, influenza virus and flu","Gatignol A, Dubuisson J, Wainberg MA, Cohen EA, Darlix JL.","Retrovirology. 2007 Feb 1;4:8. doi: 10.1186/1742-4690-4-8.","Gatignol A","Retrovirology","2007","2007/02/03","PMC1800864","","10.1186/1742-4690-4-8"
"33120607","The interferon-induced protein kinase R: the base of a riboprotein scaffolding regulating the human immunodeficiency virus","Daher A, Labbé RP, Radetskyy R, Gatignol A.","Virologie (Montrouge). 2017 Oct 1;21(5):31-44. doi: 10.1684/vir.2017.0707.","Daher A","Virologie (Montrouge)","2017","2020/10/30","","","10.1684/vir.2017.0707"
"29382068","Higher Cytopathic Effects of a Zika Virus Brazilian Isolate from Bahia Compared to a Canadian-Imported Thai Strain","Alpuche-Lazcano SP, McCullogh CR, Del Corpo O, Rance E, Scarborough RJ, Mouland AJ, Sagan SM, Teixeira MM, Gatignol A.","Viruses. 2018 Jan 27;10(2):53. doi: 10.3390/v10020053.","Alpuche-Lazcano SP","Viruses","2018","2018/02/01","PMC5850360","","10.3390/v10020053"
"25668122","HIV-1 RRE RNA acts as an RNA silencing suppressor by competing with TRBP-bound siRNAs","Daniels SM, Sinck L, Ward NJ, Melendez-Peña CE, Scarborough RJ, Azar I, Rance E, Daher A, Pang KM, Rossi JJ, Gatignol A.","RNA Biol. 2015;12(2):123-35. doi: 10.1080/15476286.2015.1014759.","Daniels SM","RNA Biol","2015","2015/02/11","PMC4615856","","10.1080/15476286.2015.1014759"
"31734561","A U1i RNA that Enhances HIV-1 RNA Splicing with an Elongated Recognition Domain Is an Optimal Candidate for Combination HIV-1 Gene Therapy","Del Corpo O, Goguen RP, Malard CMG, Daher A, Colby-Germinario S, Scarborough RJ, Gatignol A.","Mol Ther Nucleic Acids. 2019 Dec 6;18:815-830. doi: 10.1016/j.omtn.2019.10.011. Epub 2019 Oct 18.","Del Corpo O","Mol Ther Nucleic Acids","2019","2019/11/18","PMC6861678","","10.1016/j.omtn.2019.10.011"
"18936160","TRBP control of PACT-induced phosphorylation of protein kinase R is reversed by stress","Daher A, Laraki G, Singh M, Melendez-Peña CE, Bannwarth S, Peters AH, Meurs EF, Braun RE, Patel RC, Gatignol A.","Mol Cell Biol. 2009 Jan;29(1):254-65. doi: 10.1128/MCB.01030-08. Epub 2008 Oct 20.","Daher A","Mol Cell Biol","2009","2008/10/22","PMC2612476","","10.1128/MCB.01030-08"
"19422693","Characterization of the TRBP domain required for dicer interaction and function in RNA interference","Daniels SM, Melendez-Peña CE, Scarborough RJ, Daher A, Christensen HS, El Far M, Purcell DF, Lainé S, Gatignol A.","BMC Mol Biol. 2009 May 7;10:38. doi: 10.1186/1471-2199-10-38.","Daniels SM","BMC Mol Biol","2009","2009/05/09","PMC2685382","","10.1186/1471-2199-10-38"
"19605474","ADAR1 interacts with PKR during human immunodeficiency virus infection of lymphocytes and contributes to viral replication","Clerzius G, Gélinas JF, Daher A, Bonnet M, Meurs EF, Gatignol A.","J Virol. 2009 Oct;83(19):10119-28. doi: 10.1128/JVI.02457-08. Epub 2009 Jul 15.","Clerzius G","J Virol","2009","2009/07/17","PMC2747994","","10.1128/JVI.02457-08"
"16343534","Cell-specific regulation of TRBP1 promoter by NF-Y transcription factor in lymphocytes and astrocytes","Bannwarth S, Lainé S, Daher A, Grandvaux N, Clerzius G, Leblanc AC, Hiscott J, Gatignol A.","J Mol Biol. 2006 Feb 3;355(5):898-910. doi: 10.1016/j.jmb.2005.11.026. Epub 2005 Nov 28.","Bannwarth S","J Mol Biol","2006","2005/12/14","","","10.1016/j.jmb.2005.11.026"
"27684275","Evaluation of the Efficacy And Toxicity of RNAs Targeting HIV-1 Production for Use in Gene or Drug Therapy","Scarborough RJ, Adams KL, Del Corpo O, Daher A, Gatignol A.","J Vis Exp. 2016 Sep 5;(115):54486. doi: 10.3791/54486.","Scarborough RJ","J Vis Exp","2016","2016/09/30","PMC5091991","","10.3791/54486"
"15994812","Regulation of human immunodeficiency virus type 1 gene expression by clade-specific Tat proteins","Desfosses Y, Solis M, Sun Q, Grandvaux N, Van Lint C, Burny A, Gatignol A, Wainberg MA, Lin R, Hiscott J.","J Virol. 2005 Jul;79(14):9180-91. doi: 10.1128/JVI.79.14.9180-9191.2005.","Desfosses Y","J Virol","2005","2005/07/05","PMC1168763","","10.1128/JVI.79.14.9180-9191.2005"
"25072692","A Conserved Target Site in HIV-1 Gag RNA is Accessible to Inhibition by Both an HDV Ribozyme and a Short Hairpin RNA","Scarborough RJ, Lévesque MV, Boudrias-Dalle E, Chute IC, Daniels SM, Ouellette RJ, Perreault JP, Gatignol A.","Mol Ther Nucleic Acids. 2014 Jul 29;3(7):e178. doi: 10.1038/mtna.2014.31.","Scarborough RJ","Mol Ther Nucleic Acids","2014","2014/07/30","PMC4121520","","10.1038/mtna.2014.31"
"18421256","Interactions between the double-stranded RNA-binding proteins TRBP and PACT define the Medipal domain that mediates protein-protein interactions","Laraki G, Clerzius G, Daher A, Melendez-Peña C, Daniels S, Gatignol A.","RNA Biol. 2008 Apr-Jun;5(2):92-103. doi: 10.4161/rna.5.2.6069. Epub 2008 Apr 8.","Laraki G","RNA Biol","2008","2008/04/19","","","10.4161/rna.5.2.6069"
"16142218","TRBP, a regulator of cellular PKR and HIV-1 virus expression, interacts with Dicer and functions in RNA silencing","Haase AD, Jaskiewicz L, Zhang H, Lainé S, Sack R, Gatignol A, Filipowicz W.","EMBO Rep. 2005 Oct;6(10):961-7. doi: 10.1038/sj.embor.7400509.","Haase AD","EMBO Rep","2005","2005/09/06","PMC1369185","","10.1038/sj.embor.7400509"
"17004321","Trafficking of HIV-1 RNA is mediated by heterogeneous nuclear ribonucleoprotein A2 expression and impacts on viral assembly","Lévesque K, Halvorsen M, Abrahamyan L, Chatel-Chaix L, Poupon V, Gordon H, DesGroseillers L, Gatignol A, Mouland AJ.","Traffic. 2006 Sep;7(9):1177-93. doi: 10.1111/j.1600-0854.2006.00461.x.","Lévesque K","Traffic","2006","2006/09/28","","","10.1111/j.1600-0854.2006.00461.x"
"26077260","Effective inhibition of HIV-1 production by short hairpin RNAs and small interfering RNAs targeting a highly conserved site in HIV-1 Gag RNA is optimized by evaluating alternative length formats","Scarborough RJ, Adams KL, Daher A, Gatignol A.","Antimicrob Agents Chemother. 2015 Sep;59(9):5297-305. doi: 10.1128/AAC.00949-15. Epub 2015 Jun 15.","Scarborough RJ","Antimicrob Agents Chemother","2015","2015/06/17","PMC4538472","","10.1128/AAC.00949-15"
"21422817","In vitro and in vivo cleavage of HIV-1 RNA by new SOFA-HDV ribozymes and their potential to inhibit viral replication","Lainé S, Scarborough RJ, Lévesque D, Didierlaurent L, Soye KJ, Mougel M, Perreault JP, Gatignol A.","RNA Biol. 2011 Mar-Apr;8(2):343-53. doi: 10.4161/rna.8.2.15200. Epub 2011 Mar 1.","Lainé S","RNA Biol","2011","2011/03/23","","","10.4161/rna.8.2.15200"
"17360756","Small interfering RNAs against the TAR RNA binding protein, TRBP, a Dicer cofactor, inhibit human immunodeficiency virus type 1 long terminal repeat expression and viral production","Christensen HS, Daher A, Soye KJ, Frankel LB, Alexander MR, Lainé S, Bannwarth S, Ong CL, Chung SW, Campbell SM, Purcell DF, Gatignol A.","J Virol. 2007 May;81(10):5121-31. doi: 10.1128/JVI.01511-06. Epub 2007 Mar 14.","Christensen HS","J Virol","2007","2007/03/16","PMC1900231","","10.1128/JVI.01511-06"
"16188979","Low TRBP levels support an innate human immunodeficiency virus type 1 resistance in astrocytes by enhancing the PKR antiviral response","Ong CL, Thorpe JC, Gorry PR, Bannwarth S, Jaworowski A, Howard JL, Chung S, Campbell S, Christensen HS, Clerzius G, Mouland AJ, Gatignol A, Purcell DF.","J Virol. 2005 Oct;79(20):12763-72. doi: 10.1128/JVI.79.20.12763-12772.2005.","Ong CL","J Virol","2005","2005/09/29","PMC1235869","","10.1128/JVI.79.20.12763-12772.2005"
"12036319","Differential regulation of HIV-1 clade-specific B, C, and E long terminal repeats by NF-kappaB and the Tat transactivator","Roof P, Ricci M, Genin P, Montano MA, Essex M, Wainberg MA, Gatignol A, Hiscott J.","Virology. 2002 Apr 25;296(1):77-83. doi: 10.1006/viro.2001.1397.","Roof P","Virology","2002","2002/05/31","","","10.1006/viro.2001.1397"
"16253139","Dual role of TRBP in HIV replication and RNA interference: viral diversion of a cellular pathway or evasion from antiviral immunity?","Gatignol A, Lainé S, Clerzius G.","Retrovirology. 2005 Oct 27;2:65. doi: 10.1186/1742-4690-2-65.","Gatignol A","Retrovirology","2005","2005/10/29","PMC1282568","","10.1186/1742-4690-2-65"
"12475984","The TAR RNA-binding protein, TRBP, stimulates the expression of TAR-containing RNAs in vitro and in vivo independently of its ability to inhibit the dsRNA-dependent kinase PKR","Dorin D, Bonnet MC, Bannwarth S, Gatignol A, Meurs EF, Vaquero C.","J Biol Chem. 2003 Feb 14;278(7):4440-8. doi: 10.1074/jbc.M208954200. Epub 2002 Dec 9.","Dorin D","J Biol Chem","2003","2002/12/12","","","10.1074/jbc.M208954200"
"14585207","Additive activity between the trans-activation response RNA-binding protein, TRBP2, and cyclin T1 on HIV type 1 expression and viral production in murine cells","Battisti PL, Daher A, Bannwarth S, Voortman J, Peden KW, Hiscott J, Mouland AJ, Benarous R, Gatignol A.","AIDS Res Hum Retroviruses. 2003 Sep;19(9):767-78. doi: 10.1089/088922203769232566.","Battisti PL","AIDS Res Hum Retroviruses","2003","2003/10/31","","","10.1089/088922203769232566"
"33120605","The interferon-induced protein kinase R: the base of a riboprotein scaffolding regulating the human immunodeficiency virus","Daher A, Labbé RP, Radetskyy R, Gatignol A.","Virologie (Montrouge). 2017 Oct 1;21(5):211-224. doi: 10.1684/vir.2017.0708.","Daher A","Virologie (Montrouge)","2017","2020/10/30","","","10.1684/vir.2017.0708"
"15024055","Identification of Staufen in the human immunodeficiency virus type 1 Gag ribonucleoprotein complex and a role in generating infectious viral particles","Chatel-Chaix L, Clément JF, Martel C, Bériault V, Gatignol A, DesGroseillers L, Mouland AJ.","Mol Cell Biol. 2004 Apr;24(7):2637-48. doi: 10.1128/MCB.24.7.2637-2648.2004.","Chatel-Chaix L","Mol Cell Biol","2004","2004/03/17","PMC371130","","10.1128/MCB.24.7.2637-2648.2004"
