PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25780220","RNA rules!","Unrau P.","RNA. 2015 Apr;21(4):749-50. doi: 10.1261/rna.050500.115.","Unrau P","RNA","2015","2015/03/18","PMC4371362","","10.1261/rna.050500.115"
"30992561","Structure and functional reselection of the Mango-III fluorogenic RNA aptamer","Trachman RJ 3rd, Autour A, Jeng SCY, Abdolahzadeh A, Andreoni A, Cojocaru R, Garipov R, Dolgosheina EV, Knutson JR, Ryckelynck M, Unrau PJ, Ferré-D'Amaré AR.","Nat Chem Biol. 2019 May;15(5):472-479. doi: 10.1038/s41589-019-0267-9. Epub 2019 Apr 15.","Trachman RJ 3rd","Nat Chem Biol","2019","2019/04/18","PMC7380332","NIHMS1605552","10.1038/s41589-019-0267-9"
"30275490","Genome-wide discovery of somatic regulatory variants in diffuse large B-cell lymphoma","Arthur SE, Jiang A, Grande BM, Alcaide M, Cojocaru R, Rushton CK, Mottok A, Hilton LK, Lat PK, Zhao EY, Culibrk L, Ennishi D, Jessa S, Chong L, Thomas N, Pararajalingam P, Meissner B, Boyle M, Davidson J, Bushell KR, Lai D, Farinha P, Slack GW, Morin GB, Shah S, Sen D, Jones SJM, Mungall AJ, Gascoyne RD, Audas TE, Unrau P, Marra MA, Connors JM, Steidl C, Scott DW, Morin RD.","Nat Commun. 2018 Oct 1;9(1):4001. doi: 10.1038/s41467-018-06354-3.","Arthur SE","Nat Commun","2018","2018/10/03","PMC6167379","","10.1038/s41467-018-06354-3"
"36198425","E. coli 6S RNA complexed to RNA polymerase maintains product RNA synthesis at low cellular ATP levels by initiation with noncanonical initiator nucleotides","Bonar CD, Han J, Wang R, Panchapakesan SSS, Unrau PJ.","RNA. 2022 Dec;28(12):1643-1658. doi: 10.1261/rna.079356.122. Epub 2022 Oct 5.","Bonar CD","RNA","2022","2022/10/05","PMC9670815","","10.1261/rna.079356.122"
"25585661","RNA complex purification using high-affinity fluorescent RNA aptamer tags","Panchapakesan SS, Jeng SC, Unrau PJ.","Ann N Y Acad Sci. 2015 Apr;1341:149-55. doi: 10.1111/nyas.12663. Epub 2015 Jan 13.","Panchapakesan SS","Ann N Y Acad Sci","2015","2015/01/15","","","10.1111/nyas.12663"
"29440634","Fluorogenic RNA Mango aptamers for imaging small non-coding RNAs in mammalian cells","Autour A, C Y Jeng S, D Cawte A, Abdolahzadeh A, Galli A, Panchapakesan SSS, Rueda D, Ryckelynck M, Unrau PJ.","Nat Commun. 2018 Feb 13;9(1):656. doi: 10.1038/s41467-018-02993-8.","Autour A","Nat Commun","2018","2018/02/15","PMC5811451","","10.1038/s41467-018-02993-8"
"31282891","Fluorescent Visualization of Mango-tagged RNA in Polyacrylamide Gels via a Poststaining Method","Yaseen IM, Ang QR, Unrau PJ.","J Vis Exp. 2019 Jun 21;(148). doi: 10.3791/59112.","Yaseen IM","J Vis Exp","2019","2019/07/09","","","10.3791/59112"
"22678583","Isolation and biochemical analysis of plant small RNAs","Ebhardt HA, Ovando MO, Unrau PJ.","Methods Mol Biol. 2012;894:223-39. doi: 10.1007/978-1-61779-882-5_15.","Ebhardt HA","Methods Mol Biol","2012","2012/06/09","","","10.1007/978-1-61779-882-5_15"
"32386573","Structure-Guided Engineering of the Homodimeric Mango-IV Fluorescence Turn-on Aptamer Yields an RNA FRET Pair","Trachman RJ 3rd, Cojocaru R, Wu D, Piszczek G, Ryckelynck M, Unrau PJ, Ferré-D'Amaré AR.","Structure. 2020 Jul 7;28(7):776-785.e3. doi: 10.1016/j.str.2020.04.007. Epub 2020 May 7.","Trachman RJ 3rd","Structure","2020","2020/05/11","PMC7347457","NIHMS1587849","10.1016/j.str.2020.04.007"
"31551299","RNA detection with high specificity and sensitivity using nested fluorogenic Mango NASBA","Abdolahzadeh A, Dolgosheina EV, Unrau PJ.","RNA. 2019 Dec;25(12):1806-1813. doi: 10.1261/rna.072629.119. Epub 2019 Sep 24.","Abdolahzadeh A","RNA","2019","2019/09/26","PMC6859864","","10.1261/rna.072629.119"
"28553947","Structural basis for high-affinity fluorophore binding and activation by RNA Mango","Trachman RJ 3rd, Demeshkina NA, Lau MWL, Panchapakesan SSS, Jeng SCY, Unrau PJ, Ferré-D'Amaré AR.","Nat Chem Biol. 2017 Jul;13(7):807-813. doi: 10.1038/nchembio.2392. Epub 2017 May 29.","Trachman RJ 3rd","Nat Chem Biol","2017","2017/05/30","PMC5550021","NIHMS862424","10.1038/nchembio.2392"
"34286019","Purification of RNA Mango Tagged Native RNA-protein Complexes from Cellular Extracts Using TO1-Desthiobiotin Fluorophore Ligand","Panchapakesan SSS, Jeng SCY, Unrau PJ.","Bio Protoc. 2018 Apr 5;8(7):e2799. doi: 10.21769/BioProtoc.2799. eCollection 2018 Apr 5.","Panchapakesan SSS","Bio Protoc","2018","2021/07/21","PMC8275235","","10.21769/BioProtoc.2799"
"25101481","RNA mango aptamer-fluorophore: a bright, high-affinity complex for RNA labeling and tracking","Dolgosheina EV, Jeng SC, Panchapakesan SS, Cojocaru R, Chen PS, Wilson PD, Hawkins N, Wiggins PA, Unrau PJ.","ACS Chem Biol. 2014 Oct 17;9(10):2412-20. doi: 10.1021/cb500499x. Epub 2014 Aug 21.","Dolgosheina EV","ACS Chem Biol","2014","2014/08/08","","","10.1021/cb500499x"
"21224380","Characterization of the B6.61 polymerase ribozyme accessory domain","Wang QS, Cheng LK, Unrau PJ.","RNA. 2011 Mar;17(3):469-77. doi: 10.1261/rna.2495011. Epub 2011 Jan 11.","Wang QS","RNA","2011","2011/01/13","PMC3039146","","10.1261/rna.2495011"
"16007485","Recombination during in vitro evolution","Lehman N, Unrau PJ.","J Mol Evol. 2005 Aug;61(2):245-52. doi: 10.1007/s00239-004-0373-4. Epub 2005 Jun 30.","Lehman N","J Mol Evol","2005","2005/07/12","","","10.1007/s00239-004-0373-4"
"19716472","A promiscuous ribozyme promotes nucleotide synthesis in addition to ribose chemistry","Lau MW, Unrau PJ.","Chem Biol. 2009 Aug 28;16(8):815-25. doi: 10.1016/j.chembiol.2009.07.005.","Lau MW","Chem Biol","2009","2009/09/01","","","10.1016/j.chembiol.2009.07.005"
"15333915","Nucleic acid library construction using synthetic DNA constructs","Zaher HS, Unrau PJ.","Methods Mol Biol. 2005;288:359-78. doi: 10.1385/1-59259-823-4:359.","Zaher HS","Methods Mol Biol","2005","2004/08/31","","","10.1385/1-59259-823-4:359"
"20354151","Binding and release of the 6S transcriptional control RNA","Shephard L, Dobson N, Unrau PJ.","RNA. 2010 May;16(5):885-92. doi: 10.1261/rna.2036210. Epub 2010 Mar 30.","Shephard L","RNA","2010","2010/04/01","PMC2856883","","10.1261/rna.2036210"
"15571390","Isolation of fast purine nucleotide synthase ribozymes","Lau MW, Cadieux KE, Unrau PJ.","J Am Chem Soc. 2004 Dec 8;126(48):15686-93. doi: 10.1021/ja045387a.","Lau MW","J Am Chem Soc","2004","2004/12/02","","","10.1021/ja045387a"
"18566193","Conifers have a unique small RNA silencing signature","Dolgosheina EV, Morin RD, Aksay G, Sahinalp SC, Magrini V, Mardis ER, Mattsson J, Unrau PJ.","RNA. 2008 Aug;14(8):1508-15. doi: 10.1261/rna.1052008. Epub 2008 Jun 19.","Dolgosheina EV","RNA","2008","2008/06/21","PMC2491476","","10.1261/rna.1052008"
"27777365","Fluorophore ligand binding and complex stabilization of the RNA Mango and RNA Spinach aptamers","Jeng SC, Chan HH, Booy EP, McKenna SA, Unrau PJ.","RNA. 2016 Dec;22(12):1884-1892. doi: 10.1261/rna.056226.116. Epub 2016 Oct 24.","Jeng SC","RNA","2016","2016/10/26","PMC5113208","","10.1261/rna.056226.116"
"12503310","Purification of histidine-tagged T4 RNA ligase from E. coli","Wang QS, Unrau PJ.","Biotechniques. 2002 Dec;33(6):1256-60. doi: 10.2144/02336st03.","Wang QS","Biotechniques","2002","2002/12/31","","","10.2144/02336st03"
"17044717","A general RNA-capping ribozyme retains stereochemistry during cap exchange","Zaher HS, Unrau PJ.","J Am Chem Soc. 2006 Oct 25;128(42):13894-900. doi: 10.1021/ja0639822.","Zaher HS","J Am Chem Soc","2006","2006/10/19","","","10.1021/ja0639822"
"15703441","Ribozyme motif structure mapped using random recombination and selection","Wang QS, Unrau PJ.","RNA. 2005 Apr;11(4):404-11. doi: 10.1261/rna.7238705. Epub 2005 Feb 9.","Wang QS","RNA","2005","2005/02/11","PMC1370730","","10.1261/rna.7238705"
"17586759","Selection of an improved RNA polymerase ribozyme with superior extension and fidelity","Zaher HS, Unrau PJ.","RNA. 2007 Jul;13(7):1017-26. doi: 10.1261/rna.548807.","Zaher HS","RNA","2007","2007/06/26","PMC1894930","","10.1261/rna.548807"
"29768001","Crystal Structures of the Mango-II RNA Aptamer Reveal Heterogeneous Fluorophore Binding and Guide Engineering of Variants with Improved Selectivity and Brightness","Trachman RJ 3rd, Abdolahzadeh A, Andreoni A, Cojocaru R, Knutson JR, Ryckelynck M, Unrau PJ, Ferré-D'Amaré AR.","Biochemistry. 2018 Jul 3;57(26):3544-3548. doi: 10.1021/acs.biochem.8b00399. Epub 2018 May 24.","Trachman RJ 3rd","Biochemistry","2018","2018/05/17","PMC6315298","NIHMS1003479","10.1021/acs.biochem.8b00399"
"32688857","Synthesis of complementary RNA by RNA-dependent RNA polymerases in plant extracts is independent of an RNA primer","Wang L, Smith NA, Zhang L, Dennis ES, Waterhouse PM, Unrau PJ, Wang MB.","Funct Plant Biol. 2008 Dec;35(11):1091-1099. doi: 10.1071/FP08118.","Wang L","Funct Plant Biol","2008","2020/07/22","","","10.1071/FP08118"
"18323537","Comparative analysis of the small RNA transcriptomes of Pinus contorta and Oryza sativa","Morin RD, Aksay G, Dolgosheina E, Ebhardt HA, Magrini V, Mardis ER, Sahinalp SC, Unrau PJ.","Genome Res. 2008 Apr;18(4):571-84. doi: 10.1101/gr.6897308. Epub 2008 Mar 6.","Morin RD","Genome Res","2008","2008/03/08","PMC2279245","","10.1101/gr.6897308"
"16157869","Extensive 3' modification of plant small RNAs is modulated by helper component-proteinase expression","Ebhardt HA, Thi EP, Wang MB, Unrau PJ.","Proc Natl Acad Sci U S A. 2005 Sep 20;102(38):13398-403. doi: 10.1073/pnas.0506597102. Epub 2005 Sep 12.","Ebhardt HA","Proc Natl Acad Sci U S A","2005","2005/09/15","PMC1224661","","10.1073/pnas.0506597102"
"15196031","T7 RNA polymerase mediates fast promoter-independent extension of unstable nucleic acid complexes","Zaher HS, Unrau PJ.","Biochemistry. 2004 Jun 22;43(24):7873-80. doi: 10.1021/bi0497300.","Zaher HS","Biochemistry","2004","2004/06/16","","","10.1021/bi0497300"
"19415115","smyRNA: a novel Ab initio ncRNA gene finder","Salari R, Aksay C, Karakoc E, Unrau PJ, Hajirasouliha I, Sahinalp SC.","PLoS One. 2009;4(5):e5433. doi: 10.1371/journal.pone.0005433. Epub 2009 May 5.","Salari R","PLoS One","2009","2009/05/06","PMC2673033","","10.1371/journal.pone.0005433"
"19237462","Characterizing multiple exogenous and endogenous small RNA populations in parallel with subfemtomolar sensitivity using a streptavidin gel-shift assay","Ebhardt HA, Unrau PJ.","RNA. 2009 Apr;15(4):724-31. doi: 10.1261/rna.1235109. Epub 2009 Feb 23.","Ebhardt HA","RNA","2009","2009/02/25","PMC2661842","","10.1261/rna.1235109"
"25764986","Small RNAs derived from tRNAs and rRNAs are highly enriched in exosomes from both old and new world Leishmania providing evidence for conserved exosomal RNA Packaging","Lambertz U, Oviedo Ovando ME, Vasconcelos EJ, Unrau PJ, Myler PJ, Reiner NE.","BMC Genomics. 2015 Mar 5;16(1):151. doi: 10.1186/s12864-015-1260-7.","Lambertz U","BMC Genomics","2015","2015/03/14","PMC4352550","","10.1186/s12864-015-1260-7"
"23118417","E. coli 6S RNA release from RNA polymerase requires σ70 ejection by scrunching and is orchestrated by a conserved RNA hairpin","Panchapakesan SS, Unrau PJ.","RNA. 2012 Dec;18(12):2251-9. doi: 10.1261/rna.034785.112. Epub 2012 Nov 1.","Panchapakesan SS","RNA","2012","2012/11/03","PMC3504675","","10.1261/rna.034785.112"
"16973893","Two independently selected capping ribozymes share similar substrate requirements","Zaher HS, Watkins RA, Unrau PJ.","RNA. 2006 Nov;12(11):1949-58. doi: 10.1261/rna.131306. Epub 2006 Sep 14.","Zaher HS","RNA","2006","2006/09/16","PMC1624907","","10.1261/rna.131306"
"14668444","An oxocarbenium-ion intermediate of a ribozyme reaction indicated by kinetic isotope effects","Unrau PJ, Bartel DP.","Proc Natl Acad Sci U S A. 2003 Dec 23;100(26):15393-7. doi: 10.1073/pnas.2433147100. Epub 2003 Dec 10.","Unrau PJ","Proc Natl Acad Sci U S A","2003","2003/12/12","PMC307578","","10.1073/pnas.2433147100"
"13130135","Combinatorial minimization and secondary structure determination of a nucleotide synthase ribozyme","Chapple KE, Bartel DP, Unrau PJ.","RNA. 2003 Oct;9(10):1208-20. doi: 10.1261/rna.5500603.","Chapple KE","RNA","2003","2003/09/18","PMC1370485","","10.1261/rna.5500603"
"16584563","Ebbie: automated analysis and storage of small RNA cloning data using a dynamic web server","Ebhardt HA, Wiese KC, Unrau PJ.","BMC Bioinformatics. 2006 Apr 3;7:185. doi: 10.1186/1471-2105-7-185.","Ebhardt HA","BMC Bioinformatics","2006","2006/04/06","PMC1450305","","10.1186/1471-2105-7-185"
"24681966","In vitro characterization of 6S RNA release-defective mutants uncovers features of pRNA-dependent release from RNA polymerase in E. coli","Oviedo Ovando M, Shephard L, Unrau PJ.","RNA. 2014 May;20(5):670-80. doi: 10.1261/rna.036343.112. Epub 2014 Mar 28.","Oviedo Ovando M","RNA","2014","2014/04/01","PMC3988568","","10.1261/rna.036343.112"
